antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'HP 61 ink'}),frozenset({'Apple Pencil'}),0.1638448206905746,0.17970937208372217,0.03319557392347687,0.20260374288039054,1.1273966434316094,0.003751124078003657,1.0287114099072503
frozenset({'Apple Pencil'}),frozenset({'HP 61 ink'}),0.17970937208372217,0.1638448206905746,0.03319557392347687,0.1847181008902077,1.1273966434316094,0.003751124078003657,1.0256025311274843
frozenset({'HP 61 ink'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.1638448206905746,0.12958272230369283,0.03212904946007199,0.19609438567941412,1.5132757067708698,0.010897591559626912,1.0827356622355886
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'HP 61 ink'}),0.12958272230369283,0.1638448206905746,0.03212904946007199,0.2479423868312757,1.5132757067708698,0.010897591559626912,1.111823302720604
frozenset({'Screen Mom Screen Cleaner kit'}),frozenset({'Apple Pencil'}),0.12958272230369283,0.17970937208372217,0.03079589388081589,0.23765432098765432,1.322436989412756,0.00750866422271991,1.0760087588861296
frozenset({'Apple Pencil'}),frozenset({'Screen Mom Screen Cleaner kit'}),0.17970937208372217,0.12958272230369283,0.03079589388081589,0.17136498516320472,1.322436989412756,0.00750866422271991,1.050422999404317
frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'Apple Pencil'}),0.0871883748833489,0.17970937208372217,0.02879616051193174,0.33027522935779813,1.8378297443715457,0.013127592408644938,1.224817512916086
frozenset({'Apple Pencil'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.17970937208372217,0.0871883748833489,0.02879616051193174,0.1602373887240356,1.8378297443715457,0.013127592408644938,1.0869876949268955
frozenset({'Apple USB-C Charger cable'}),frozenset({'USB 2.0 Printer cable'}),0.13211571790427942,0.1709105452606319,0.028529529396080524,0.21594349142280528,1.263488400282732,0.005949560011560297,1.0574358425311634
frozenset({'USB 2.0 Printer cable'}),frozenset({'Apple USB-C Charger cable'}),0.1709105452606319,0.13211571790427942,0.028529529396080524,0.1669266770670827,1.263488400282732,0.005949560011560297,1.0417861888077844
frozenset({'Nylon Braided Lightning to USB cable'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.09532062391681109,0.17411011865084655,0.027862951606452472,0.29230769230769227,1.678866768759571,0.011266666466423773,1.1670183106020646
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Nylon Braided Lightning to USB cable'}),0.17411011865084655,0.09532062391681109,0.027862951606452472,0.16003062787136293,1.678866768759571,0.011266666466423773,1.0770385279531858
frozenset({'FEIYOLD Blue light Blocking Glasses'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.0658578856152513,0.23836821757099053,0.027596320490601255,0.4190283400809717,1.7579035676439423,0.011897893683499625,1.3109620227175287
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'FEIYOLD Blue light Blocking Glasses'}),0.23836821757099053,0.0658578856152513,0.027596320490601255,0.11577181208053693,1.7579035676439423,0.011897893683499625,1.0564491464389187
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Syntech USB C to USB Adapter'}),0.23836821757099053,0.08105585921877083,0.027463004932675644,0.11521252796420582,1.4213966649005063,0.0081418642470121,1.0386043765593158
frozenset({'Syntech USB C to USB Adapter'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.08105585921877083,0.23836821757099053,0.027463004932675644,0.33881578947368424,1.4213966649005065,0.0081418642470121,1.1519207057632783
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Apple USB-C Charger cable'}),0.17411011865084655,0.13211571790427942,0.026529796027196375,0.15237366003062788,1.153334837426579,0.0035271127072405116,1.023899613746171
frozenset({'Apple USB-C Charger cable'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.13211571790427942,0.17411011865084655,0.026529796027196375,0.2008072653884965,1.153334837426579,0.0035271127072405116,1.0334051419406705
frozenset({'Apple USB-C Charger cable'}),frozenset({'Apple Pencil'}),0.13211571790427942,0.17970937208372217,0.025463271563791495,0.1927346115035318,1.0724794665341186,0.0017208388568232674,1.0161350153312891
frozenset({'Apple Pencil'}),frozenset({'Apple USB-C Charger cable'}),0.17970937208372217,0.13211571790427942,0.025463271563791495,0.14169139465875372,1.0724794665341189,0.0017208388568232674,1.0111564496672698
frozenset({'VIVO Dual LCD Monitor Desk mount'}),frozenset({'Stylus Pen for iPad'}),0.17411011865084655,0.09505399280095987,0.025196640447940274,0.1447166921898928,1.522468314328732,0.008646778483128437,1.0580657881843747
frozenset({'Stylus Pen for iPad'}),frozenset({'VIVO Dual LCD Monitor Desk mount'}),0.09505399280095987,0.17411011865084655,0.025196640447940274,0.2650771388499299,1.522468314328732,0.008646778483128437,1.1237776438968443
frozenset({'Apple Lightning to Digital AV Adapter'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.0871883748833489,0.23836821757099053,0.024396747100386616,0.2798165137614679,1.1738834841861134,0.0036138095865314197,1.057552411270854
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Apple Lightning to Digital AV Adapter'}),0.23836821757099053,0.0871883748833489,0.024396747100386616,0.10234899328859061,1.1738834841861132,0.0036138095865314197,1.0168892122794844
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'Anker USB C to HDMI Adapter'}),0.23836821757099053,0.06839088121583789,0.024396747100386616,0.10234899328859061,1.4965298219448697,0.008094534646858002,1.0378299715801134
frozenset({'Anker USB C to HDMI Adapter'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.06839088121583789,0.23836821757099053,0.024396747100386616,0.3567251461988304,1.4965298219448695,0.008094534646858002,1.1839912254123692
frozenset({'Dust-Off Compressed Gas 2 pack'}),frozenset({'TopMate C5 Laptop Cooler pad'}),0.23836821757099053,0.07652313024930009,0.023996800426609784,0.10067114093959731,1.315564857470243,0.005756118266131375,1.0268511462153305
frozenset({'TopMate C5 Laptop Cooler pad'}),frozenset({'Dust-Off Compressed Gas 2 pack'}),0.07652313024930009,0.23836821757099053,0.023996800426609784,0.313588850174216,1.315564857470243,0.005756118266131375,1.1095853886148515
