,Component,explained_var,cumulative_var,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,MonthlyCharge,Bandwidth_GB_Year,Tenure
0,0,0.1809170817118732,0.1809170817118732,-0.005066771410962258,0.9969760633282763,-0.05337422264879216,-0.05277978854613544,0.00020833669777191947,0.011532364556613307,-0.012280325862544171,0.007215918489518439,0.006529053239101145
1,1,0.15090164032769374,0.33181872203956697,0.0022398271452798296,-0.06883524143301405,-0.3242680276364673,-0.9381449909850853,-0.00905871494884087,0.04329246897476279,-0.04698052419046704,0.053368851152869164,0.054582165040650506
2,2,0.14954299723273728,0.48136171927230426,-0.011280848916969352,0.033312603546329825,0.9273699935916259,-0.32270799971699793,0.015735703318143144,0.023423276367846153,0.1597987671929349,0.06841923949726654,0.05995293347878991
3,3,0.13415673137773054,0.6155184506500349,0.022375940363328715,-0.001935739226042563,-0.16673887910242485,0.07141845788253205,0.003876820901385571,0.002698034187238647,0.753956925328073,0.4660041148135777,0.42539385382693096
4,4,0.12676249458006772,0.7422809452301026,0.014998423348372421,0.008879336502185779,-0.05946485467363631,-0.07731163434434543,-0.00036933474986680285,-0.07268622779645774,0.6326248832303245,-0.5307278215161494,-0.5504664925325587
5,5,0.10620219764297265,0.8484831428730752,0.04526596292373453,-0.008414982145867686,-0.010106155773144426,0.04303367184614765,-0.010724684873013776,0.9950457556562001,0.041504810451232464,-0.044486919537971396,-0.04464682926462255
